,Unnamed: 0,Country or Area,Industry,Value,ratio
140,244,Ecuador,Other service activities (ISIC Rev.4: Section S),241890.0,2.09399201151007
141,245,Ecuador,"Professional, scientific and technical activities (ISIC Rev.4: Section M)",230840.0,1.99833443274622
142,241,Ecuador,Information and communication (ISIC Rev.4: Section J),143798.0,1.2448297295098
143,239,Ecuador,Financial and insurance activities (ISIC Rev.4: Section K),108942.0,0.94308850187246
144,235,Ecuador,"Arts, entertainment and recreation (ISIC Rev.4: Section R)",68368.0,0.5918477235227599
145,243,Ecuador,Mining and quarrying (ISIC Rev.4: Section B),64840.0,0.56130655267399
146,250,Ecuador,"Water supply; sewerage, waste management and remediation activities (ISIC Rev.4: Section E)",45502.0,0.39390146144003996
147,238,Ecuador,"Electricity, gas, steam and air conditioning supply (ISIC Rev.4: Section D)",32214.0,0.27886997667859
148,247,Ecuador,Real estate activities (ISIC Rev.4: Section L),23978.0,0.20757261752030998
149,231,Ecuador,Activities of extraterritorial organizations and bodies (ISIC Rev.4: Section U),3604.0,0.03119908722759
150,278,Ghana,"Agriculture, forestry and fishing (ISIC Rev.4: Section A)",9759270.0,44.603924543161774
151,294,Ghana,Wholesale and retail trade; repair of motor vehicles and motorcycles (ISIC Rev.4: Section G),3934548.0,17.98252144919118
152,286,Ghana,Manufacturing (ISIC Rev.4: Section C),2256840.0,10.31469782739787
153,274,Ghana,Accommodation and food service activities (ISIC Rev.4: Section I),1138706.0,5.20436021350424
154,288,Ghana,Other service activities (ISIC Rev.4: Section S),936098.0,4.27835735224096
155,281,Ghana,Education (ISIC Rev.4: Section P),801028.0,3.66103125223093
156,292,Ghana,Transportation and storage (ISIC Rev.4: Section H),722076.0,3.30018776183342
157,280,Ghana,Construction (ISIC Rev.4: Section F),624124.0,2.85250636590403
158,290,Ghana,Public administration and defence; compulsory social security (ISIC Rev.4: Section O),302934.0,1.38453442496807
159,284,Ghana,Human health and social work activities (ISIC Rev.4: Section Q),244644.0,1.11812487162843
160,287,Ghana,Mining and quarrying (ISIC Rev.4: Section B),228594.0,1.0447696935344
161,289,Ghana,"Professional, scientific and technical activities (ISIC Rev.4: Section M)",188532.0,0.8616696845124
162,276,Ghana,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (ISIC Rev.4: Section T),176022.0,0.80449377934378
163,283,Ghana,Financial and insurance activities (ISIC Rev.4: Section K),140594.0,0.6425730784394
164,277,Ghana,Administrative and support service activities (ISIC Rev.4: Section N),132780.0,0.60685984718539
